time,open,high,low,close,Plot,Plot,Volume
1717210800,3777.79,3782.07,3774.51,3778.98,3718.3311206340445,3828.1971781853645,3898.7589
1717214400,3778.98,3785.26,3771.19,3784.35,3720.595238078067,3829.4127880334636,3846.3542
1717218000,3784.35,3794.11,3778.33,3789.79,3724.3095086496937,3832.130661935192,6063.0824
1717221600,3789.79,3791.81,3782.31,3788.84,3727.1845715072195,3833.9944547540076,5030.0455
1717225200,3788.84,3790.67,3770.31,3773,3724.854379363338,3830.514915688851,4903.5483
1717228800,3772.99,3802,3772.43,3799.11,3730.645364920912,3835.3970652167436,11748.8694
1717232400,3799.11,3809.55,3788.48,3793.14,3732.6720535930185,3836.418009354718,8704.6185
1717236000,3793.14,3796.05,3784.07,3785.99,3729.0902976617385,3831.6859802579897,3260.1453
1717239600,3785.99,3793.39,3782.07,3788.28,3732.3597850108613,3834.004579853114,4303.1593
1717243200,3788.28,3806.97,3787,3795.71,3736.646097328682,3837.3762915912166,6240.3949
1717246800,3795.71,3809.8,3795.3,3802.01,3737.9026094292635,3837.6455912543793,5232.4455
1717250400,3802.01,3814.67,3797,3809.66,3743.097923934936,3841.967531194162,5739.4996
1717254000,3809.66,3812.69,3798.17,3798.6,3738.02579653223,3835.7611652429514,5988.1808
